activity,time,lat,long,activity_id
Walking, 1571547113.008, 434560022510033.06, -84130869159820.06, -492
Walking, 1571547123.0029998, 434560424406577.75, -84130989443525.1, -492
Walking, 1571547134.002, 434561254307382.75, -84130837191508.75, -492
Walking, 1571547144.0089998, 434562065107382.75, -84130837191508.75, -492
Walking, 1571547154.004, 434561529570098.94, -84130441603234.39, -492
Walking, 1571547164.008, 434562028132968.8, -84131077670217.38, -492
Walking, 1571547174.002, 434562684483555.56, -84130888854882.62, -492
Walking, 1571547184.0070002, 434562303669277.0, -84130490505091.89, -492
Walking, 1571547186.8660002, 434214428762022.2, -84117701008929.42, -492
Walking, 1571547201.5970001, 433874516958754.1, -84099956218148.84, -492
Walking, 1571547212.008, 433874201418403.9, -84098799461331.98, -492
Walking, 1571547235.17, 433616041154113.75, -84167919912334.05, -492
Walking, 1571547468.0379999, 433444087484167.94, -84114508367365.67, -492
Walking, 1571547562.056, 433444784858511.8, -84114508367365.67, -492
Walking, 1571547580.019, 433444284406585.6, -84115218933056.69, -492
Walking, 1571547600.0210001, 433445696036095.4, -84111741302314.3, -492
Walking, 1571547602.968, 433109694401162.75, -84137877661784.1, -492
Walking, 1571547610.01, 433236640074756.94, -84071422652581.33, -492
Walking, 1571547628.034, 433237899481618.94, -84071105063218.88, -492
Walking, 1571547638.0010002, 433239817214795.25, -84070968953492.11, -492
Walking, 1571547658.054, 433240374205229.0, -84070968953492.11, -492
Walking, 1571547668.019, 433239580657894.7, -84071253293264.2, -492
Walking, 1571547678.0470002, 433238128231556.7, -84071349382337.1, -492
Walking, 1571547688.014, 433239093826802.06, -84071349382337.1, -492
Walking, 1571547698.0410001, 433239856864858.3, -84071064861046.86, -492
Walking, 1571547708.0070002, 433238948773542.9, -84071188117992.69, -492
Walking, 1571547718.034, 433240829605836.5, -84070938831152.64, -492
Walking, 1571547727.379, 433617814001961.44, -84077213308792.12, -492
Walking, 1571547738.0270002, 433238835742949.2, -84085402027165.56, -492
Walking, 1571547748.002, 433240053450059.75, -84085381160526.73, -492
Walking, 1571547758.019, 433239279254437.75, -84085333487503.69, -492
